id,s_no,tpa,entity_code,hospital_name,district,subentities,single_multi,pvt_govt,directrate,edc,edc_date,year,created_on,updated_on
11213,340,MA,H_24578,"Govt Meensurtty UPHC, Jayankondam, Ariyalur TN.",Ariyalur,UPHC,Multi,Govt-MTM,Govt,51,2021-08-19,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11215,342,MA,H_24582,"Govt T.Palur UPHC, Ariyalur TN.",Ariyalur,UPHC,Multi,Govt-MTM,Govt,51,2021-08-19,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11216,343,MA,H_24586,"Govt Thirumanur UPHC,  Ariyalur TN.",Ariyalur,UPHC,Multi,Govt-MTM,Govt,51,2021-08-19,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11208,335,MA,H_18494,"Govt. Medical College and Hosp, Ariyalur TN.",Ariyalur,Govt-DME,Multi,GOVT-DME,Govt,1,2017-03-20,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11209,336,MA,H_18861,"Govt.Head Qrtrs Jayakondam,Ariyalur TN.",Ariyalur,GOVT-DMS,Multi,GOVT-DMS,Govt,1,2017-03-20,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11218,345,MA,H_25717,"KVS Scans and Diagnostic, Ariyalur DC.",Ariyalur,DC PVT-STANDALONE,Multi,PVT DC -STANDALONE,Pvt,62,2022-08-30,2022,2025-12-05 10:57:37,2025-12-05 10:57:37
11222,349,MA,H_26164 ,"Nalam Multispeciality Hospital, Ariyalur TN. ",Ariyalur,PVT HOSPITAL,Single,PVT HOSPITAL,PVT,86,2025-04-30,2025,2025-12-05 10:57:37,2025-12-05 10:57:37
11221,348,MA,H_23841,"New life Critical Care Centre, Ariyalur TN.",Ariyalur,PVT HOSPITAL,Multi,PVT HOSPITAL,PVT,55,2021-11-12,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11248,375,MA,H_19414,"Aarthi Scans, Chengalpet DC.",Chengalpet,DC PVT-STANDALONE,PVT-STANDALONE,PVT DC -STANDALONE,Pvt,2,2017-03-27,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11246,373,MA,H_26295,"Absolute Special School, Autism, Chengalpattu, TN. ",Chengalpet,PVT AUTISM,Single,PVT AUTISM,Pvt,90,2025-09-24,2025,2025-12-05 10:57:37,2025-12-05 10:57:37
11253,380,MA,H_21985,"Annai Arul Hospital, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,1,2017-03-20,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11274,401,MA,H_22425,"Apollo Speciality Hosptial, OMR, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,13,2017-11-07,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11249,376,MA,H_20066,"Arya Scans, Chengalpet DC.",Chengalpet,DC PVT-STANDALONE,PVT-STANDALONE,PVT DC -STANDALONE,Pvt,5,2017-04-19,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11276,403,MA,H_22866,"B.M Hospital, Nanganallur, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,31,2019-05-13,2019,2025-12-05 10:57:38,2025-12-05 10:57:38
11259,386,MA,H_18469,"Balaji Hospital, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,4,2017-04-12,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11283,410,MA,H_23426,"Bharath Medical Col and Hosp, Chengalpet TN.",Chengalpet,PVT-MC,Multi,PVT-MC,Pvt,49,2021-07-07,2021,2025-12-05 10:57:38,2025-12-05 10:57:38
11280,407,MA,H_22970,"C-Dot Hospital, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,32,2019-08-06,2019,2025-12-05 10:57:38,2025-12-05 10:57:38
11225,352,MA,H_18722,"Chengalpet Medical College, Chengalpet TN.",Chengalpet,Govt-DME,Multi,Govt-DME,Govt,1,2017-03-20,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11277,404,MA,H_22860,"Chennai Urology And Robotics Inst, OMR, Chengalpet  TN.",Chengalpet,PVT HOSPITAL,Single,PVT HOSPITAL,Pvt,31,2019-05-13,2019,2025-12-05 10:57:38,2025-12-05 10:57:38
11293,420,MA,H_25842,"Chettinad Hospital and Res Ins, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,68,2023-05-02,2023,2025-12-05 10:57:38,2025-12-05 10:57:38
11260,387,MA,H_18220,"Chettinad Super Speciality Hosp, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,4,2017-04-12,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11266,393,MA,H_18300,"Dr Kamakshi Memorial Hospital, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,5,2017-04-19,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11271,398,MA,H_20052,"Dr Kumars Health Care Pvt Ltd, Chengalpet, TN.",Chengalpet,PVT HOSPITAL,Single,PVT HOSPITAL,Pvt,5,2017-04-19,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11278,405,MA,H_22863,"Dr. Rela Inst. and Medical Centre, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,31,2019-05-13,2019,2025-12-05 10:57:38,2025-12-05 10:57:38
11284,411,MA,H_23787,"Easy mom Fertility,maternity, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Single,PVT HOSPITAL,Pvt,53,2021-09-18,2021,2025-12-05 10:57:38,2025-12-05 10:57:38
11281,408,MA,H_22972,"Gem Hospital And Res Centre Pvt Ltd, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,32,2019-08-06,2019,2025-12-05 10:57:38,2025-12-05 10:57:38
11251,378,MA,H_26112,"Genorime Pvt Ltd, Chengalpet, DC.",Chengalpet,DC PVT-STANDALONE,PVT-STANDALONE,PVT DC -STANDALONE,Pvt,81,2024-12-04,2024,2025-12-05 10:57:37,2025-12-05 10:57:37
11254,381,MA,H_18439,"Gleneagles Global Health City, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,1,2017-03-20,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11229,356,MA,H_18866,"Govt Head Qrtrs Hospital, Tambaram, Chengalpet TN.",Chengalpet,District Hospital,Multi,Govt-DMS,Govt,1,2017-03-20,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11227,354,MA,H_20057,"Govt Hospital, Cheyyur Chengalpet TN.",Chengalpet,Sub-district Hospital,Multi,Govt-DMS,Govt,1,2017-03-20,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11228,355,MA,H_18864,"Govt Hospital, Madhurandaham Chengalpet TN.",Chengalpet,Sub-district Hospital,Multi,Govt-DMS,Govt,1,2017-03-20,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11230,357,MA,H_22958,"Govt Hospital, Thiruporur, Chengalpet TN.",Chengalpet,Sub-district Hospital,Multi,Govt-DMS,Govt,30,2019-03-20,2019,2025-12-05 10:57:37,2025-12-05 10:57:37
11231,358,MA,H_24442,"Govt Hospital,Injabakkam,Chengalpet TN.",Chengalpet,Sub-district Hospital,Multi,Govt-DMS,Govt,50,2021-07-30,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11232,359,MA,H_24443,"Govt Hospital,Mahabalipuram, Chengalpet TN.",Chengalpet,Sub-district Hospital,Multi,Govt-DMS,Govt,50,2021-07-30,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11233,360,MA,H_24439,"Govt Hospital,Thirukalukundram,Chengalpet TN.",Chengalpet,Sub-district Hospital,Multi,Govt-DMS,Govt,50,2021-07-30,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11224,351,MA,H_26130,"Govt PHC, Nandhivaram, Chengalpattu, TN. ",Chengalpet,PHC,Multi,Govt - PHC,Govt,83,2025-01-30,2025,2025-12-05 10:57:37,2025-12-05 10:57:37
11226,353,MA,H_19477,"Govt Sanatorium, Chengalpet TN.",Chengalpet,Sub-district Hospital,Multi,Govt-DMS,Govt,1,2017-03-20,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11223,350,MA,H_25566,"Govt.DDWO,Chengalpattu TN. ",Chengalpet,DDWO,DDWO,DDWO,Govt,,2022-03-22,2022,2025-12-05 10:57:37,2025-12-05 10:57:37
11241,368,MA,H_24884,"Govt.PHC St.Thomas mount,Chengalpattu TN.",Chengalpet,PHC,Multi,Govt-MTM,Govt,54,2021-10-22,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11242,369,MA,H_24885,"Govt.PHC Tiruporur,Chengalpattu TN.",Chengalpet,PHC,Multi,Govt-MTM,Govt,54,2021-10-22,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11243,370,MA,H_25008 ,"Govt.PHC,Chithamur,idaikalinadu,Chengulpet TN.",Chengalpet,PHC,Multi,Govt-MTM,Govt,55,2021-11-12,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11244,371,MA,H_25009,"Govt.PHC,Tirukalukundram,Sadras,Chengulpet TN.",Chengalpet,PHC,Multi,Govt-MTM,Govt,55,2021-11-12,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11234,361,MA,H_24470,"Govt.UPHC Achirapakkam,Chengalpattu TN.",Chengalpet,PHC,Multi,Govt-MTM,Govt,51,2021-08-23,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11235,362,MA,H_24471,"Govt.UPHC Chunamed,Chengalpattu TN. ",Chengalpet,PHC,Multi,Govt-MTM,Govt,51,2021-08-23,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11237,364,MA,H_24474,"Govt.UPHC Kelambakkam,Chengalpattu TN.",Chengalpet,PHC,Multi,Govt-MTM,Govt,51,2021-08-23,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11240,367,MA,H_24718,"Govt.UPHC Madhuranthagam ,Chengalpattu TN.",Chengalpet,PHC,Multi,Govt-MTM,Govt,52,2021-08-09,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11239,366,MA,H_24478,"Govt.UPHC Medavakkam,Chengalpattu TN.",Chengalpet,PHC,Multi,Govt-MTM,Govt,51,2021-08-23,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11238,365,MA,H_24476,"Govt.UPHC Nandhivaram,Chengalpattu TN. ",Chengalpet,PHC,Multi,Govt-MTM,Govt,51,2021-08-23,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11236,363,MA,H_24473,"Govt.UPHC Pavanjur,Chengalpattu TN.",Chengalpet,PHC,Multi,Govt-MTM,Govt,51,2021-08-23,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11245,372,MA,H_26299,"Govt.UPHC Semmancherry, Chengalpattu TN.  ",Chengalpet,UPHC,multi,Govt-MTM,Govt,90,2025-09-24,2025,2025-12-05 10:57:37,2025-12-05 10:57:37
11267,394,MA,H_18784,"Hariharan Diabetes, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,5,2017-04-19,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11255,382,MA,H_18780,"Hindu Mission Health Services, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,1,2017-03-20,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11256,383,MA,H_18204,"Hindu Mission Hospital, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,1,2017-03-20,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11291,418,MA,H_24100,"Jeevan Sumyuktha Hospitals, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,PVT,63,2022-09-30,2022,2025-12-05 10:57:38,2025-12-05 10:57:38
11296,423,MA,H_26110,"JJ Hospital, Chengalpet, TN.",Chengalpet,PVT HOSPITAL,Multiple,PVT HOSPITAL,Pvt,81,2024-12-04,2024,2025-12-05 10:57:38,2025-12-05 10:57:38
11287,414,MA,H_23675,"Jolen Hospital, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,56,2022-01-13,2022,2025-12-05 10:57:38,2025-12-05 10:57:38
11292,419,MA,H_25745 ,"JSP Hospital Pvt Ltd, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,PVT,63,2022-09-30,2022,2025-12-05 10:57:38,2025-12-05 10:57:38
11268,395,MA,H_19648,"Karpaga Vinyaga Institute, Chengalpet,TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,5,2017-04-19,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11289,416,MA,H_23669,"Kasturi Hospital, Tambaram, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,58,2022-04-28,2022,2025-12-05 10:57:38,2025-12-05 10:57:38
11250,377,MA,H_25704 ,"LifeCell international Pvt Ltd, Chengalpet DC.",Chengalpet,DC PVT-STANDALONE,PVT-STANDALONE,PVT DC -STANDALONE,Pvt,61,2022-06-26,2022,2025-12-05 10:57:37,2025-12-05 10:57:37
11290,417,MA,H_25655,"Lions Hemodialysis Centre, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Single,PVT HOSPITAL,Pvt,59,2022-05-31,2022,2025-12-05 10:57:38,2025-12-05 10:57:38
11269,396,MA,H_18400,"Melmaruvathur Adhiparsakthi Inst, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,5,2017-04-19,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11279,406,MA,H_22865,"Melvin Jones Lions Dialysis, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Single,PVT HOSPITAL,Pvt,31,2019-05-13,2019,2025-12-05 10:57:38,2025-12-05 10:57:38
11247,374,MA,H_26296,"Mothers Special School, ID,Autism, Chengalpet, TN. ",Chengalpet,PVT AUTISM,Single,PVT AUTISM,Pvt,90,2025-09-24,2025,2025-12-05 10:57:37,2025-12-05 10:57:37
11286,413,MA,H_23671,"One Health hospital, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Single,PVT HOSPITAL,Pvt,55,2021-11-12,2021,2025-12-05 10:57:38,2025-12-05 10:57:38
11270,397,MA,H_18233,"Parvathy Ortho Hospital, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Single,PVT HOSPITAL,Pvt,5,2017-04-19,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11295,422,MA,H_26089,"RKP Hospital Pvt Ltd., Chengalpet, TN.",Chengalpet,PVT HOSPITAL,Multiple,PVT HOSPITAL,Pvt,80,2024-10-04,2024,2025-12-05 10:57:38,2025-12-05 10:57:38
11298,425,MA,H_26147,"Rotary club Maraimalainagar, Chengalpattu, TN.",Chengalpet,PVT HOSPITAL,Single,PVT HOSPITAL,Pvt,85,2025-03-26,2025,2025-12-05 10:57:38,2025-12-05 10:57:38
11282,409,MA,H_23177,"Sai Fertility Centre and Hospital,Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,35,2020-02-17,2020,2025-12-05 10:57:38,2025-12-05 10:57:38
11257,384,MA,H_18405,"Sankara Eye Hospital, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Single,PVT HOSPITAL,Pvt,1,2017-03-20,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11275,402,MA,H_22683,"Shadithya Health Care, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,21,2018-07-16,2018,2025-12-05 10:57:38,2025-12-05 10:57:38
11261,388,MA,H_21126,"Shri Sathya Sai Medical College, Chengalpet TN.",Chengalpet,PVT-MC,Multi,PVT-MC,Pvt,4,2017-04-12,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11252,379,MA,H_26300,"Shrimpex Biotech Services Pvt Ltd, Chengalpet, DC.",Chengalpet,DC PVT-STANDALONE,Single,PVT DC -STANDALONE,Pvt,90,2025-09-24,2025,2025-12-05 10:57:37,2025-12-05 10:57:37
11262,389,MA,H_18789,"Sree Renga Nursing Home, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,4,2017-04-12,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11263,390,MA,H_18793,"Sri Balaji Medical Coll and Hosp, Chengalpet TN.",Chengalpet,PVT-MC,Multi,PVT-MC,Pvt,4,2017-04-12,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11272,399,MA,H_20050,"Sri Chakara Multi Hospital, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,5,2017-04-19,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11297,424,MA,H_26126,"Sri Kauvery Medical Care Ltd, Chengalpattu, TN.",Chengalpet,PVT HOSPITAL,Multiple,PVT HOSPITAL,Pvt,82,2025-01-06,2025,2025-12-05 10:57:38,2025-12-05 10:57:38
11294,421,MA,H_26007,"Sringeri Sharada Equitas Hospital, Chengalpet, TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,76,2024-05-06,2024,2025-12-05 10:57:38,2025-12-05 10:57:38
11264,391,MA,H_18283,"SRM Medical College Hospital, Chengalpet TN.",Chengalpet,PVT-MC,Multi,PVT-MC,Pvt,4,2017-04-12,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11273,400,MA,H_18623,"St. Thomas Hospital, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,5,2017-04-19,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11258,385,MA,H_23134,"Sugam Hospital, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,2,2017-03-27,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11265,392,MA,H_18768,"Tagore Medical Coll And Hosp, Chengalpet TN.",Chengalpet,PVT-MC,Multi,PVT-MC,Pvt,4,2017-04-12,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11288,415,MA,H_25625,"Tagore Specialty Hospital, Chengalpet TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,57,2022-03-23,2022,2025-12-05 10:57:38,2025-12-05 10:57:38
11285,412,MA,H_23927,"Unittas Multi Speciality Hospital,chenglapattu TN.",Chengalpet,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,54,2021-10-22,2021,2025-12-05 10:57:38,2025-12-05 10:57:38
11299,426,MA,H_26251,"Vasan Eye Care Hospital, Chengalpattu, TN.",Chengalpet,PVT HOSPITAL,Single,PVT HOSPITAL,Pvt,88,2025-06-25,2025,2025-12-05 10:57:38,2025-12-05 10:57:38
11362,492,MA,H_21999,"Aarthi Scans kilpauk, Chennai DC.",Chennai,DC PVT-STANDALONE,PVT-STANDALONE,PVT DC -STANDALONE,Pvt,2,2017-03-27,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11360,490,MA,H_21986,"Aarthi Scans, Alwarpet, Chennai DC.",Chennai,DC PVT-STANDALONE,PVT-STANDALONE,PVT DC -STANDALONE,Pvt,2,2017-03-27,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11377,507,MA,H_23234,"Aarthi Scans, Vadapalani,Chennai DC.",Chennai,DC PVT-STANDALONE,PVT-STANDALONE,PVT DC -STANDALONE,Pvt,39,2020-06-10,2020,2025-12-05 10:57:38,2025-12-05 10:57:38
11363,493,MA,H_21030,"Aarthi Scans,Tondiarpet Chennai DC.",Chennai,DC PVT-STANDALONE,PVT-STANDALONE,PVT DC -STANDALONE,Pvt,2,2017-03-27,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11461,591,MA,H_25710 ,"Adambakkam Sudar Hospital, Chennai TN.",Chennai,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,61,2022-07-25,2022,2025-12-05 10:57:38,2025-12-05 10:57:38
11366,496,MA,H_19826,"Advanced Nuclear Research,Chennai DC",Chennai,DC PVT-STANDALONE,PVT-STANDALONE,PVT DC -STANDALONE,Pvt,4,2017-04-12,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11436,566,MA,H_22799,"Adyar PM Hospital,Adyar,Chennai TN.",Chennai,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,29,2019-02-12,2019,2025-12-05 10:57:38,2025-12-05 10:57:38
11444,574,MA,H_23611,"Amma Hospital, Chennai TN",Chennai,PVT HOSPITAL,Single,PVT HOSPITAL,Pvt,45,2021-02-24,2021,2025-12-05 10:57:38,2025-12-05 10:57:38
11454,584,MA,H_24856,"AN-NOOR Eye hospital,Chennai TN.",Chennai,PVT HOSPITAL,Single,PVT HOSPITAL,Pvt,53,2021-09-18,2021,2025-12-05 10:57:38,2025-12-05 10:57:38
11480,610,MA,H_26269,"Anchibai Hemraj Katariya Dialysis, Chennai TN. ",Chennai,PVT HOSPITAL,Single,PVT HOSPITAL,Pvt,89,2025-07-30,2025,2025-12-05 10:57:38,2025-12-05 10:57:38
11373,503,MA,H_22579,"Anderson Diagnostic Services,Nungamb , Chennai DC.",Chennai,DC PVT-STANDALONE,PVT-STANDALONE,PVT DC -STANDALONE,Pvt,15,2018-05-02,2018,2025-12-05 10:57:38,2025-12-05 10:57:38
11376,506,MA,H_22440,"Anderson Diagnostic sevices, Purasai, Chennai DC.",Chennai,DC PVT-STANDALONE,PVT-STANDALONE,PVT DC -STANDALONE,Pvt,14,2017-12-19,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11442,572,MA,H_23590,"Annai multi speciality,Virugambakkam,Chennai TN",Chennai,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,43,2020-12-30,2020,2025-12-05 10:57:38,2025-12-05 10:57:38
11390,520,MA,H_18355,"Apollo Childrens Hospital,Chennai TN.",Chennai,PVT HOSPITAL,Single,PVT HOSPITAL,Pvt,1,2017-03-20,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11392,522,MA,H_18644,"Apollo Greams,Chennai TN.",Chennai,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,1,2017-03-20,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11394,524,MA,H_18764,"APOLLO SPECIALTY HOSPITAL, Chennai TN.",Chennai,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,1,2017-03-20,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11439,569,MA,H_22862,"Apollo Spectra Hospital, R.A Puram, Chennai TN.",Chennai,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,31,2019-05-13,2019,2025-12-05 10:57:38,2025-12-05 10:57:38
11416,546,MA,H_18449,"Appasamy Hospitals,Chennai TN.",Chennai,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,5,2017-04-19,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11401,531,MA,H_20111,Aysha Hospital Kilpauk Chennai TN.,Chennai,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,4,2017-04-12,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11378,508,MA,H_23238,"Balaji Medical Centre, Chennai DC.",Chennai,DC PVT-STANDALONE,PVT-STANDALONE,PVT DC -STANDALONE,Pvt,36,2020-06-19,2020,2025-12-05 10:57:38,2025-12-05 10:57:38
11372,502,MA,H_19986,"Bharat Scans Royapettah, Chennai DC.",Chennai,DC PVT-STANDALONE,PVT-STANDALONE,PVT DC -STANDALONE,Pvt,13,2017-11-07,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11405,535,MA,H_18759,"Bharathirajaa Speciality Hospital, Chennai TN.",Chennai,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,4,2017-04-12,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11407,537,MA,H_18472,"Billroth Hospitals Shenoy Nagar, Chennai TN.",Chennai,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,4,2017-04-12,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11412,542,MA,H_18688,"Billroth,Chennai TN.",Chennai,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,4,2017-04-12,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11398,528,MA,H_21989,"Bloom Health Care, Chennai TN.",Chennai,PVT HOSPITAL,Multi,PVT HOSPITAL,Pvt,2,2017-03-27,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11397,527,MA,H_18247,"Cancer Institute Adyar,Chennai TN.",Chennai,PVT HOSPITAL,Single,PVT HOSPITAL,Pvt,1,2017-03-20,2017,2025-12-05 10:57:38,2025-12-05 10:57:38
11306,433,MA,H_22591,"CCH, Adyar, Chennai TN.",Chennai,CCH,CCH,CCH,Govt,16,2018-03-14,2018,2025-12-05 10:57:38,2025-12-05 10:57:38
11303,430,MA,H_22588,"CCH, Ayanavaram, Chennai TN.",Chennai,CCH,CCH,CCH,Govt,16,2018-03-14,2018,2025-12-05 10:57:38,2025-12-05 10:57:38
11305,432,MA,H_22590,"CCH, Kodambakkam, Chennai TN.",Chennai,CCH,CCH,CCH,Govt,16,2018-03-14,2018,2025-12-05 10:57:38,2025-12-05 10:57:38
